F22: Calling A4_Render(
sphere: 19.6432 1.01341
sphere: 19.7478 1.01798
sphere: 19.7478 1.01798
sphere: 19.8566 1.02261
sphere: 19.8566 1.02261
sphere: 19.9701 1.02729
sphere: 19.9701 1.02729
sphere: 20.0887 1.03202
sphere: 20.0887 1.03202
sphere: 20.213 1.03681
sphere: 20.213 1.03681
sphere: 20.344 1.04165
sphere: 20.344 1.04165
sphere: 20.4827 1.04655
sphere: 20.4827 1.04655
sphere: 20.6313 1.0515
sphere: 20.6313 1.0515
sphere: 20.7925 1.05651
sphere: 20.7925 1.05651
sphere: 20.972 1.06157
sphere: 20.972 1.06157
sphere: 21.1841 1.06669
sphere: 21.1841 1.06669
sphere: 21.5257 1.07188
sphere: 21.5257 1.07188
sphere: 17.7845 0.893289
sphere: 17.7845 0.893289
sphere: 17.7634 0.89652
sphere: 17.7634 0.89652
sphere: 17.7647 0.899787
sphere: 17.7647 0.899787
sphere: 17.7779 0.903089
sphere: 17.7779 0.903089
sphere: 17.7991 0.906429
sphere: 17.7991 0.906429
sphere: 17.8264 0.909805
sphere: 17.8264 0.909805
sphere: 17.8586 0.913219
sphere: 17.8586 0.913219
sphere: 17.8949 0.91667
sphere: 17.8949 0.91667
sphere: 17.9349 0.92016
sphere: 17.9349 0.92016
sphere: 17.9781 0.923689
sphere: 17.9781 0.923689
sphere: 18.0243 0.927257
sphere: 18.0243 0.927257
sphere: 18.0733 0.930865
sphere: 18.0733 0.930865
sphere: 18.125 0.934513
sphere: 18.125 0.934513
sphere: 18.1793 0.938201
sphere: 18.1793 0.938201
sphere: 18.2361 0.941931
sphere: 18.2361 0.941931
sphere: 18.2952 0.945702
sphere: 18.2952 0.945702
sphere: 18.3569 0.949515
sphere: 18.3569 0.949515
sphere: 18.4209 0.953371
sphere: 18.4209 0.953371
sphere: 18.4873 0.95727
sphere: 18.4873 0.95727
sphere: 18.5561 0.961213
sphere: 18.5561 0.961213
sphere: 18.6273 0.965199
sphere: 18.6273 0.965199
sphere: 18.701 0.969231
sphere: 18.701 0.969231
sphere: 18.7772 0.973307
sphere: 18.7772 0.973307
sphere: 18.856 0.97743
sphere: 18.856 0.97743
sphere: 18.9374 0.981598
sphere: 18.9374 0.981598
sphere: 19.0216 0.985813
sphere: 19.0216 0.985813
sphere: 19.1086 0.990076
sphere: 19.1086 0.990076
sphere: 19.1986 0.994387
sphere: 19.1986 0.994387
sphere: 19.2917 0.998746
sphere: 19.2917 0.998746
sphere: 19.3881 1.00315
sphere: 19.3881 1.00315
sphere: 19.488 1.00761
sphere: 19.488 1.00761
sphere: 19.5916 1.01212
sphere: 19.5916 1.01212
sphere: 19.6993 1.01668
sphere: 19.6993 1.01668
sphere: 19.8113 1.02129
sphere: 19.8113 1.02129
sphere: 19.9283 1.02595
sphere: 19.9283 1.02595
sphere: 20.0507 1.03067
sphere: 20.0507 1.03067
sphere: 20.1793 1.03544
sphere: 20.1793 1.03544
sphere: 20.3152 1.04026
sphere: 20.3152 1.04026
sphere: 20.4599 1.04514
sphere: 20.4599 1.04514
sphere: 20.6158 1.05007
sphere: 20.6158 1.05007
sphere: 20.7871 1.05506
sphere: 20.7871 1.05506
sphere: 20.9826 1.0601
sphere: 20.9826 1.0601
sphere: 21.2315 1.0652
sphere: 21.2315 1.0652
sphere: 17.6294 0.879856
sphere: 17.6294 0.879856
sphere: 17.5536 0.882938
sphere: 17.5536 0.882938
sphere: 17.5362 0.886055
sphere: 17.5362 0.886055
sphere: 17.5378 0.889206
sphere: 17.5378 0.889206
sphere: 17.5502 0.892392
sphere: 17.5502 0.892392
sphere: 17.5699 0.895612
sphere: 17.5699 0.895612
sphere: 17.5954 0.898869
sphere: 17.5954 0.898869
sphere: 17.6253 0.902161
sphere: 17.6253 0.902161
sphere: 17.6592 0.90549
sphere: 17.6592 0.90549
sphere: 17.6966 0.908856
sphere: 17.6966 0.908856
sphere: 17.7371 0.912258
sphere: 17.7371 0.912258
sphere: 17.7804 0.915699
sphere: 17.7804 0.915699
sphere: 17.8264 0.919178
sphere: 17.8264 0.919178
sphere: 17.875 0.922695
sphere: 17.875 0.922695
sphere: 17.926 0.926251
sphere: 17.926 0.926251
sphere: 17.9794 0.929847
sphere: 17.9794 0.929847
sphere: 18.0351 0.933483
sphere: 18.0351 0.933483
sphere: 18.093 0.937159
sphere: 18.093 0.937159
sphere: 18.1531 0.940876
sphere: 18.1531 0.940876
sphere: 18.2155 0.944635
sphere: 18.2155 0.944635
sphere: 18.2801 0.948435
sphere: 18.2801 0.948435
sphere: 18.3471 0.952278
sphere: 18.3471 0.952278
sphere: 18.4163 0.956163
sphere: 18.4163 0.956163
sphere: 18.4878 0.960092
sphere: 18.4878 0.960092
sphere: 18.5616 0.964065
sphere: 18.5616 0.964065
sphere: 18.6378 0.968082
sphere: 18.6378 0.968082
sphere: 18.7166 0.972145
sphere: 18.7166 0.972145
sphere: 18.7979 0.976252
sphere: 18.7979 0.976252
sphere: 18.8819 0.980406
sphere: 18.8819 0.980406
sphere: 18.9687 0.984606
sphere: 18.9687 0.984606
sphere: 19.0582 0.988853
sphere: 19.0582 0.988853
sphere: 19.1509 0.993148
sphere: 19.1509 0.993148
sphere: 19.2468 0.997491
sphere: 19.2468 0.997491
sphere: 19.3461 1.00188
sphere: 19.3461 1.00188
sphere: 19.449 1.00632
sphere: 19.449 1.00632
sphere: 19.5559 1.01082
sphere: 19.5559 1.01082
sphere: 19.6671 1.01536
sphere: 19.6671 1.01536
sphere: 19.783 1.01995
sphere: 19.783 1.01995
sphere: 19.9042 1.02459
sphere: 19.9042 1.02459
sphere: 20.0314 1.02929
sphere: 20.0314 1.02929
sphere: 20.1657 1.03404
sphere: 20.1657 1.03404
sphere: 20.3083 1.03884
sphere: 20.3083 1.03884
sphere: 20.4617 1.0437
sphere: 20.4617 1.0437
sphere: 20.6292 1.04861
sphere: 20.6292 1.04861
sphere: 20.8184 1.05358
sphere: 20.8184 1.05358
sphere: 21.0498 1.05861
sphere: 21.0498 1.05861
sphere: 17.4262 0.869967
sphere: 17.4262 0.869967
sphere: 17.3509 0.872941
sphere: 17.3509 0.872941
sphere: 17.3319 0.875948
sphere: 17.3319 0.875948
sphere: 17.3315 0.878987
sphere: 17.3315 0.878987
sphere: 17.3416 0.88206
sphere: 17.3416 0.88206
sphere: 17.3589 0.885167
sphere: 17.3589 0.885167
sphere: 17.3819 0.888308
sphere: 17.3819 0.888308
sphere: 17.4094 0.891484
sphere: 17.4094 0.891484
sphere: 17.4407 0.894694
sphere: 17.4407 0.894694
sphere: 17.4753 0.89794
sphere: 17.4753 0.89794
sphere: 17.513 0.901222
sphere: 17.513 0.901222
sphere: 17.5535 0.90454
sphere: 17.5535 0.90454
sphere: 17.5964 0.907895
sphere: 17.5964 0.907895
sphere: 17.642 0.911286
sphere: 17.642 0.911286
sphere: 17.6897 0.914716
sphere: 17.6897 0.914716
sphere: 17.7398 0.918183
sphere: 17.7398 0.918183
sphere: 17.7921 0.921689
sphere: 17.7921 0.921689
sphere: 17.8466 0.925233
sphere: 17.8466 0.925233
sphere: 17.9032 0.928817
sphere: 17.9032 0.928817
sphere: 17.9619 0.93244
sphere: 17.9619 0.93244
sphere: 18.0227 0.936104
sphere: 18.0227 0.936104
sphere: 18.0856 0.939808
sphere: 18.0856 0.939808
sphere: 18.1507 0.943554
sphere: 18.1507 0.943554
sphere: 18.2179 0.947341
sphere: 18.2179 0.947341
sphere: 18.2873 0.95117
sphere: 18.2873 0.95117
sphere: 18.359 0.955042
sphere: 18.359 0.955042
sphere: 18.4329 0.958957
sphere: 18.4329 0.958957
sphere: 18.5092 0.962916
sphere: 18.5092 0.962916
sphere: 18.5879 0.966919
sphere: 18.5879 0.966919
sphere: 18.6692 0.970966
sphere: 18.6692 0.970966
sphere: 18.753 0.975059
sphere: 18.753 0.975059
sphere: 18.8395 0.979198
sphere: 18.8395 0.979198
sphere: 18.929 0.983382
sphere: 18.929 0.983382
sphere: 19.0213 0.987614
sphere: 19.0213 0.987614
sphere: 19.1168 0.991893
sphere: 19.1168 0.991893
sphere: 19.2157 0.996219
sphere: 19.2157 0.996219
sphere: 19.3182 1.00059
sphere: 19.3182 1.00059
sphere: 19.4246 1.00502
sphere: 19.4246 1.00502
sphere: 19.5353 1.00949
sphere: 19.5353 1.00949
sphere: 19.6506 1.01402
sphere: 19.6506 1.01402
sphere: 19.7713 1.01859
sphere: 19.7713 1.01859
sphere: 19.8978 1.02322
sphere: 19.8978 1.02322
sphere: 20.0314 1.0279
sphere: 20.0314 1.0279
sphere: 20.1734 1.03263
sphere: 20.1734 1.03263
sphere: 20.3258 1.03741
sphere: 20.3258 1.03741
sphere: 20.4925 1.04225
sphere: 20.4925 1.04225
sphere: 20.6804 1.04714
sphere: 20.6804 1.04714
sphere: 20.9096 1.05209
sphere: 20.9096 1.05209
sphere: 17.2872 0.860415
sphere: 17.2872 0.860415
sphere: 17.1733 0.863284
sphere: 17.1733 0.863284
sphere: 17.1481 0.866185
sphere: 17.1481 0.866185
sphere: 17.1435 0.869117
sphere: 17.1435 0.869117
sphere: 17.1501 0.872082
sphere: 17.1501 0.872082
sphere: 17.1645 0.875079
sphere: 17.1645 0.875079
sphere: 17.1844 0.878109
sphere: 17.1844 0.878109
sphere: 17.209 0.881172
sphere: 17.209 0.881172
sphere: 17.2375 0.884269
sphere: 17.2375 0.884269
sphere: 17.2692 0.8874
sphere: 17.2692 0.8874
sphere: 17.304 0.890565
sphere: 17.304 0.890565
sphere: 17.3416 0.893765
sphere: 17.3416 0.893765
sphere: 17.3816 0.897001
sphere: 17.3816 0.897001
sphere: 17.4241 0.900272
sphere: 17.4241 0.900272
sphere: 17.4689 0.903579
sphere: 17.4689 0.903579
sphere: 17.5158 0.906922
sphere: 17.5158 0.906922
sphere: 17.5648 0.910303
sphere: 17.5648 0.910303
sphere: 17.616 0.913721
sphere: 17.616 0.913721
sphere: 17.6692 0.917176
sphere: 17.6692 0.917176
sphere: 17.7244 0.92067
sphere: 17.7244 0.92067
sphere: 17.7816 0.924202
sphere: 17.7816 0.924202
sphere: 17.8408 0.927774
sphere: 17.8408 0.927774
sphere: 17.9022 0.931385
sphere: 17.9022 0.931385
sphere: 17.9655 0.935036
sphere: 17.9655 0.935036
sphere: 18.0308 0.938727
sphere: 18.0308 0.938727
sphere: 18.0983 0.942459
sphere: 18.0983 0.942459
sphere: 18.1679 0.946233
sphere: 18.1679 0.946233
sphere: 18.2396 0.950049
sphere: 18.2396 0.950049
sphere: 18.3137 0.953907
sphere: 18.3137 0.953907
sphere: 18.39 0.957808
sphere: 18.39 0.957808
sphere: 18.4687 0.961752
sphere: 18.4687 0.961752
sphere: 18.5499 0.96574
sphere: 18.5499 0.96574
sphere: 18.6336 0.969773
sphere: 18.6336 0.969773
sphere: 18.72 0.973851
sphere: 18.72 0.973851
sphere: 18.8093 0.977973
sphere: 18.8093 0.977973
sphere: 18.9015 0.982142
sphere: 18.9015 0.982142
sphere: 18.9968 0.986358
sphere: 18.9968 0.986358
sphere: 19.0956 0.99062
sphere: 19.0956 0.99062
sphere: 19.1979 0.99493
sphere: 19.1979 0.99493
sphere: 19.3042 0.999289
sphere: 19.3042 0.999289
sphere: 19.4146 1.0037
sphere: 19.4146 1.0037
sphere: 19.5299 1.00815
sphere: 19.5299 1.00815
sphere: 19.6505 1.01266
sphere: 19.6505 1.01266
sphere: 19.7771 1.01721
sphere: 19.7771 1.01721
sphere: 19.9109 1.02182
sphere: 19.9109 1.02182
sphere: 20.0532 1.02648
sphere: 20.0532 1.02648
sphere: 20.2064 1.03119
sphere: 20.2064 1.03119
sphere: 20.3745 1.03596
sphere: 20.3745 1.03596
sphere: 20.5658 1.04077
sphere: 20.5658 1.04077
sphere: 20.8041 1.04565
sphere: 20.8041 1.04565
sphere: 17.0225 0.853956
sphere: 17.0225 0.853956
sphere: 16.9841 0.856754
sphere: 16.9841 0.856754
sphere: 16.9729 0.859583
sphere: 16.9729 0.859583
sphere: 16.9749 0.862444
sphere: 16.9749 0.862444
sphere: 16.9853 0.865335
sphere: 16.9853 0.865335
sphere: 17.0019 0.868258
sphere: 17.0019 0.868258
sphere: 17.0233 0.871213
sphere: 17.0233 0.871213
sphere: 17.0486 0.874201
sphere: 17.0486 0.874201
sphere: 17.0773 0.877221
sphere: 17.0773 0.877221
sphere: 17.1091 0.880274
sphere: 17.1091 0.880274
sphere: 17.1437 0.883361
sphere: 17.1437 0.883361
sphere: 17.1808 0.886482
sphere: 17.1808 0.886482
sphere: 17.2203 0.889637
sphere: 17.2203 0.889637
sphere: 17.262 0.892826
sphere: 17.262 0.892826
sphere: 17.3059 0.896051
sphere: 17.3059 0.896051
sphere: 17.3518 0.899311
sphere: 17.3518 0.899311
sphere: 17.3998 0.902607
sphere: 17.3998 0.902607
sphere: 17.4498 0.905939
sphere: 17.4498 0.905939
sphere: 17.5017 0.909308
sphere: 17.5017 0.909308
sphere: 17.5556 0.912714
sphere: 17.5556 0.912714
sphere: 17.6113 0.916158
sphere: 17.6113 0.916158
sphere: 17.6691 0.919639
sphere: 17.6691 0.919639
sphere: 17.7287 0.923159
sphere: 17.7287 0.923159
sphere: 17.7903 0.926718
sphere: 17.7903 0.926718
sphere: 17.8539 0.930316
sphere: 17.8539 0.930316
sphere: 17.9195 0.933954
sphere: 17.9195 0.933954
sphere: 17.9871 0.937633
sphere: 17.9871 0.937633
sphere: 18.0569 0.941352
sphere: 18.0569 0.941352
sphere: 18.1288 0.945112
sphere: 18.1288 0.945112
sphere: 18.2029 0.948913
sphere: 18.2029 0.948913
sphere: 18.2793 0.952757
sphere: 18.2793 0.952757
sphere: 18.358 0.956644
sphere: 18.358 0.956644
sphere: 18.4392 0.960574
sphere: 18.4392 0.960574
sphere: 18.523 0.964547
sphere: 18.523 0.964547
sphere: 18.6093 0.968564
sphere: 18.6093 0.968564
sphere: 18.6986 0.972626
sphere: 18.6986 0.972626
sphere: 18.7908 0.976734
sphere: 18.7908 0.976734
sphere: 18.8862 0.980887
sphere: 18.8862 0.980887
sphere: 18.985 0.985085
sphere: 18.985 0.985085
sphere: 19.0874 0.989331
sphere: 19.0874 0.989331
sphere: 19.1938 0.993625
sphere: 19.1938 0.993625
sphere: 19.3044 0.997966
sphere: 19.3044 0.997966
sphere: 19.42 1.00235
sphere: 19.42 1.00235
sphere: 19.5412 1.00679
sphere: 19.5412 1.00679
sphere: 19.6685 1.01128
sphere: 19.6685 1.01128
sphere: 19.8032 1.01582
sphere: 19.8032 1.01582
sphere: 19.9472 1.02041
sphere: 19.9472 1.02041
sphere: 20.103 1.02505
sphere: 20.103 1.02505
sphere: 20.2754 1.02974
sphere: 20.2754 1.02974
sphere: 20.4751 1.03448
sphere: 20.4751 1.03448
sphere: 20.7433 1.03928
sphere: 20.7433 1.03928
sphere: 16.9149 0.844944
sphere: 16.9149 0.844944
sphere: 16.8424 0.847644
sphere: 16.8424 0.847644
sphere: 16.8202 0.850374
sphere: 16.8202 0.850374
sphere: 16.8157 0.853134
sphere: 16.8157 0.853134
sphere: 16.8212 0.855924
sphere: 16.8212 0.855924
sphere: 16.8336 0.858744
sphere: 16.8336 0.858744
sphere: 16.8512 0.861595
sphere: 16.8512 0.861595
sphere: 16.8732 0.864477
sphere: 16.8732 0.864477
sphere: 16.8988 0.86739
sphere: 16.8988 0.86739
sphere: 16.9275 0.870336
sphere: 16.9275 0.870336
sphere: 16.9589 0.873313
sphere: 16.9589 0.873313
sphere: 16.9931 0.876324
sphere: 16.9931 0.876324
sphere: 17.0296 0.879367
sphere: 17.0296 0.879367
sphere: 17.0683 0.882443
sphere: 17.0683 0.882443
sphere: 17.1091 0.885554
sphere: 17.1091 0.885554
sphere: 17.1521 0.888698
sphere: 17.1521 0.888698
sphere: 17.197 0.891877
sphere: 17.197 0.891877
sphere: 17.2439 0.89509
sphere: 17.2439 0.89509
sphere: 17.2926 0.898339
sphere: 17.2926 0.898339
sphere: 17.3432 0.901624
sphere: 17.3432 0.901624
sphere: 17.3958 0.904944
sphere: 17.3958 0.904944
sphere: 17.4501 0.908302
sphere: 17.4501 0.908302
sphere: 17.5063 0.911696
sphere: 17.5063 0.911696
sphere: 17.5645 0.915127
sphere: 17.5645 0.915127
sphere: 17.6244 0.918597
sphere: 17.6244 0.918597
sphere: 17.6864 0.922104
sphere: 17.6864 0.922104
sphere: 17.7502 0.92565
sphere: 17.7502 0.92565
sphere: 17.816 0.929236
sphere: 17.816 0.929236
sphere: 17.8838 0.93286
sphere: 17.8838 0.93286
sphere: 17.9537 0.936525
sphere: 17.9537 0.936525
sphere: 18.0257 0.94023
sphere: 18.0257 0.94023
sphere: 18.0999 0.943977
sphere: 18.0999 0.943977
sphere: 18.1764 0.947765
sphere: 18.1764 0.947765
sphere: 18.2552 0.951594
sphere: 18.2552 0.951594
sphere: 18.3365 0.955466
sphere: 18.3365 0.955466
sphere: 18.4204 0.959381
sphere: 18.4204 0.959381
sphere: 18.5069 0.963339
sphere: 18.5069 0.963339
sphere: 18.5962 0.967341
sphere: 18.5962 0.967341
sphere: 18.6887 0.971387
sphere: 18.6887 0.971387
sphere: 18.7843 0.975478
sphere: 18.7843 0.975478
sphere: 18.8833 0.979615
sphere: 18.8833 0.979615
sphere: 18.9861 0.983797
sphere: 18.9861 0.983797
sphere: 19.0929 0.988026
sphere: 19.0929 0.988026
sphere: 19.2043 0.992302
sphere: 19.2043 0.992302
sphere: 19.3207 0.996625
sphere: 19.3207 0.996625
sphere: 19.4428 1.001
sphere: 19.4428 1.001
sphere: 19.5717 1.00542
sphere: 19.5717 1.00542
sphere: 19.7086 1.00989
sphere: 19.7086 1.00989
sphere: 19.8556 1.01441
sphere: 19.8556 1.01441
sphere: 20.016 1.01897
sphere: 20.016 1.01897
sphere: 20.1966 1.02359
sphere: 20.1966 1.02359
sphere: 20.4149 1.02827
sphere: 20.4149 1.02827
sphere: 16.732 0.838843
sphere: 16.732 0.838843
sphere: 16.6881 0.841477
sphere: 16.6881 0.841477
sphere: 16.6734 0.84414
sphere: 16.6734 0.84414
sphere: 16.6722 0.846832
sphere: 16.6722 0.846832
sphere: 16.6795 0.849553
sphere: 16.6795 0.849553
sphere: 16.6928 0.852304
sphere: 16.6928 0.852304
sphere: 16.711 0.855085
sphere: 16.711 0.855085
sphere: 16.733 0.857896
sphere: 16.733 0.857896
sphere: 16.7584 0.860737
sphere: 16.7584 0.860737
sphere: 16.7867 0.86361
sphere: 16.7867 0.86361
sphere: 16.8178 0.866514
sphere: 16.8178 0.866514
sphere: 16.8512 0.869449
sphere: 16.8512 0.869449
sphere: 16.8869 0.872417
sphere: 16.8869 0.872417
